study_id,expr_key,expr_md5,expr_size,meta_key,meta_md5,meta_size
GSE32894_DisTypeNMIBC_Nodalunknown_Metunknown_SampSourceTURBT,GSE32894_DisTypeNMIBC_Nodalunknown_Metunknown_SampSourceTURBT_Expression.txt,md5:cc2d9bf52682b6d3f82aa9bf8c86f780,55801678,GSE32894_DisTypeNMIBC_Nodalunknown_Metunknown_SampSourceTURBT_Clinical.txt,md5:0fdc08223d1879bae0e43e72e7ec6373,64566
GSE38264,GSE38264.expr_matrix.txt,md5:12deffdc0322406ecac96d2f65c14d6e,15649498,GSE38264_Meta_20240515.txt,md5:f18696129dc5734ea12a51704865ffb5,9722
GSE48075,GSE48075.expr_matrix.txt,md5:a3caba757a065a51953323e5bb48ff0e,60595754,GSE48075_Meta_20240515.txt,md5:0230e4701a864e86adc6f36bd71b9690,45159
GSE48075_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown,GSE48075_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown_Expression.txt,md5:9a0624304f7c3946eca53617a8dbe916,20231799,GSE48075_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown_Clinical.txt,md5:c3393d6e9efc9824d337a4c9f293491b,14737
GSE48075_DisTypeMIBC_NodalYes_MetNo_SampSourceunknown,GSE48075_DisTypeMIBC_NodalYes_MetNo_SampSourceunknown_Expression.txt,md5:4f092e84a38b81c069412790fe788e88,9184678,GSE48075_DisTypeMIBC_NodalYes_MetNo_SampSourceunknown_Clinical.txt,md5:f464da12032244c397c8a0943f586ccc,6983
GSE48075_DisTypeNMIBC_NodalNo_MetNo_SampSourceunknown,GSE48075_DisTypeNMIBC_NodalNo_MetNo_SampSourceunknown_Expression.txt,md5:91f46b390fa2ab20832869c5bb0a4f88,25755140,GSE48075_DisTypeNMIBC_NodalNo_MetNo_SampSourceunknown_Clinical.txt,md5:f7a5394c6e9a72e9ee2e63d86fee80d3,18514
GSE48276,GSE48276.expr_matrix.txt,md5:131f25912664d0c91a5f218fe37957d3,28790193,GSE48276_Meta_20240515.txt,md5:2f021249942dcc0d2c20e58413e7999e,38501
GSE48276_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT,GSE48276_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT_Expression.txt,md5:c1ac91caa32df778f13e7e8ae0add437,16714773,GSE48276_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT_Clinical.txt,md5:23256e62e6dcab2c34d53ff5a9e52ab8,21519
GSE52329,GSE52329.expr_matrix.txt,md5:1ffacf36d75534344968d7f97a5f9a0c,5150359,GSE52329_Meta_20240515.txt,md5:248d4694b26e7b308feaea45fb2b5763,7685
GSE57813,GSE57813.expr_matrix.txt,md5:93c598744f9d72a8a15f289cb1122ac3,7586708,GSE57813_Meta_20240515.txt,md5:54c41900b695f9396a034503fb574ddd,7619
GSE69795,GSE69795.expr_matrix.txt,md5:00cc6aead2044bfa73ada3762eb57824,7140361,GSE69795_Meta_20240515.txt,md5:8b5ddaa4a3147dd9aa1bffb209889f0a,16588
GSE69795_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT,GSE69795_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT_Expression.txt,md5:55115bf279bf30c80b5408f74969ab11,2590906,GSE69795_DisTypeMIBC_NodalNo_MetNo_SampSourceTURBT_Clinical.txt,md5:e9c5198168b873ec41321076e48f2cbf,7527
GSE69795_DisTypeunknown_NodalNo_MetNo_SampSourceCystectomy,GSE69795_DisTypeunknown_NodalNo_MetNo_SampSourceCystectomy_Expression.txt,md5:bbe6e09fd55ce49affdf7ada880c4954,2819053,GSE69795_DisTypeunknown_NodalNo_MetNo_SampSourceCystectomy_Clinical.txt,md5:a484bea91c1010b7593444d9679c5083,8404
GSE70691,GSE70691.expr_matrix.txt,md5:a6f0683981b6eac13e34397b09061d3c,5737130,GSE70691_Meta_20240515.txt,md5:0fb266cdd319b6566f014d386bd35215,9663
GSE70691_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown,GSE70691_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown_Expression.txt,md5:c343f2df9825554f1dd2d5398cd49bd0,3253418,GSE70691_DisTypeMIBC_NodalNo_MetNo_SampSourceunknown_Clinical.txt,md5:7b0a2a954b335983033ebf7b36802fc2,9215
GSE71576,GSE71576.expr_matrix.txt,md5:339383baef3c953584870c7e708c0c8c,17555527,GSE71576_Meta_20240515.txt,md5:a3cca786325b3d9e6c1e816ba9919f2d,14946
GSE83586,GSE83586.expr_matrix.txt,md5:61eb7aed50fa7b8f81376b9e1d668e47,107091080,GSE83586_Meta_20240515.txt,md5:eb0c35393d360953d06d4efbf01567cc,99989
GSE86411,GSE86411.expr_matrix.txt,md5:6c0cf044ab401df9f529333c90799ea0,46617176,GSE86411_Meta_20240515.txt,md5:6323533954a95231fbe796bca22fa555,44484
